1989
2019
2
50
0.122
440
#Length-at-age
 157.199 192.079 216.827 236.023 251.707 264.968 276.455 286.587 295.651 303.849 311.335 318.22 324.595 330.53 336.082 341.298 346.214 350.866 355.278 359.475 363.477 367.301 370.962 374.474 377.848 381.094 384.223 387.242 390.158 392.979 395.71 398.357 400.925 403.419 405.842 408.199 410.493 412.728 414.906 417.03 419.103 421.127 423.105 425.038 426.929 428.779 430.59 432.364 434.102
#Term age
15
4
 1990 1995 1999 2009
#M_phz
-1
#mta
 31 99 109 33 24 15 17 19 34 29 41 40 34 29 42 29 23 22 26 29 14 12 3 3 3 3 4 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 9 53 122 72 34 26 16 26 25 24 29 22 29 22 30 18 15 29 22 28 15 13 8 13 4 5 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 420 584 470 259 155 160 125 112 105 122 128 107 116 118 138 116 103 98 64 79 51 40 24 21 10 5 7 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 365 319 267 118 112 69 55 53 74 63 67 73 68 83 86 88 73 78 54 59 27 33 26 24 6 6 5 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 946 971 285 62 50 38 26 21 17 26 13 18 32 40 32 38 29 44 31 24 19 23 19 16 5 3 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 206 280 155 37 12 14 9 3 7 11 14 13 16 15 16 10 5 12 8 9 9 4 5 8 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 89 88 36 16 10 5 6 6 0 4 4 7 8 10 5 6 9 11 3 9 0 4 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 14 19 10 0 2 0 1 0 1 2 1 0 4 0 2 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 9 5 11 2 1 1 0 0 0 0 3 1 1 2 4 5 2 3 3 2 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 50 81 38 13 7 5 4 0 1 3 0 0 1 0 0 2 2 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 76 64 45 6 4 2 3 0 2 0 0 2 0 0 1 1 0 0 3 1 0 2 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 133 236 150 67 42 31 9 4 4 5 2 1 0 0 2 2 0 1 0 1 1 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 349 398 192 66 33 24 18 10 2 5 2 1 3 3 3 2 0 5 0 3 1 1 4 2 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 554 340 98 21 11 11 10 10 3 3 4 1 1 4 2 5 3 4 3 2 5 2 1 5 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 278 480 171 22 4 5 5 1 2 0 2 3 4 1 2 1 4 4 6 6 3 2 2 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 333 254 148 39 13 9 1 3 4 3 1 4 2 2 1 3 1 2 1 2 4 0 1 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 397 546 266 72 32 12 9 5 1 3 5 4 1 1 2 4 5 3 4 5 3 6 1 3 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 489 402 266 128 51 33 16 7 4 4 2 3 3 1 1 1 2 5 2 3 4 5 2 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 450 923 641 189 63 33 16 12 8 1 2 4 5 2 1 0 7 1 0 3 0 5 1 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 483 475 578 267 113 53 21 22 12 4 7 2 0 2 2 2 1 2 2 2 0 0 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 668 737 513 232 125 65 23 25 12 4 7 5 1 1 3 0 0 0 2 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 630 400 235 73 30 13 14 4 7 4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
